w1,l1_leg,l1_top,l1_center,l2,h1,l2_tap,ratio,Tx_turns,Tx_tap,Tx_height,Tx_preg,Rx_turns,Rx_tap,Rx_height,Rx_preg,g1,g2,Tx_space_x,Tx_space_y,Rx_space_x,Rx_space_y,core_N_w1,core_P_w1,Tx_layer_space_x,Tx_layer_space_y,Rx_layer_space_x,Rx_layer_space_y,Tx_width,Rx_width,B_mean_leg_bottom_left
12.8,4.6,13.0,10.4,21.2,37.6,0.0,0.51,14.0,15.0,0.175,0.03,2.0,35.0,0.07,0.07,0.1,0.42,2.2,0.3,4.8,4.8,13.0,14.0,2.4,5.0,4.1,3.1,0.1,3.9,0.0629673389331393
28.4,10.6,5.8,16.4,8.0,10.0,0.0,0.51,14.0,25.0,0.035,0.02,2.0,20.0,0.07,0.05,0.1,0.38,0.7,2.6,4.8,3.2,19.0,22.0,4.4,3.5,1.9,4.4,0.2,2.7,0.0634263009914468
20.0,11.8,8.2,23.6,15.2,6.4,0.0,0.51,14.0,15.0,0.14,0.03,2.0,18.0,0.175,0.06,0.1,0.43,1.2,1.9,3.4,4.3,1.0,15.0,1.4,3.2,0.1,2.2,0.74,2.1,0.0626668782939498
46.4,1.0,3.4,10.4,14.0,37.6,0.0,0.5,14.0,20.0,0.175,0.05,2.0,34.0,0.14,0.03,0.1,0.2,1.0,1.5,4.8,4.7,18.0,7.0,2.0,3.6,4.1,0.5,0.78,3.1,0.0631385375421237
27.2,1.0,5.8,12.8,5.6,20.8,0.0,0.5,14.0,21.0,0.175,0.02,2.0,3.0,0.14,0.05,0.1,0.48,0.6,0.9,2.9,1.6,28.0,0.0,2.2,0.4,1.4,4.4,0.34,1.3,0.0647060469290205
27.2,10.6,5.8,23.6,20.0,32.8,0.0,0.51,14.0,32.0,0.175,0.08,2.0,8.0,0.07,0.02,0.1,0.37,1.2,3.6,5.0,4.3,14.0,5.0,3.6,3.4,1.8,0.7,0.62,2.8,0.0631216752665117
16.4,9.4,10.6,24.8,22.4,13.6,0.0,0.5,14.0,31.0,0.07,0.06,2.0,12.0,0.105,0.08,0.1,0.41,1.5,3.3,4.5,4.5,17.0,2.0,4.9,0.5,1.7,3.1,0.39,3.3,0.06326200395057
48.8,1.0,3.4,12.8,14.0,11.2,0.0,0.51,14.0,35.0,0.105,0.08,2.0,11.0,0.035,0.01,0.1,0.33,1.8,3.1,3.4,4.6,7.0,28.0,0.7,4.3,2.6,1.2,0.18,1.3,0.063098615542533
47.6,5.8,3.4,8.0,22.4,13.6,0.0,0.5,14.0,31.0,0.175,0.07,2.0,13.0,0.105,0.05,0.1,0.18,1.3,3.5,4.6,3.5,17.0,2.0,4.9,2.5,0.4,1.9,1.02,2.6,0.0630472154722221
17.6,3.4,9.4,21.2,8.0,14.8,0.0,0.5,14.0,32.0,0.14,0.07,2.0,32.0,0.105,0.02,0.1,0.17,0.9,3.7,3.6,4.4,17.0,11.0,4.5,0.6,4.4,4.7,0.68,2.0,0.062768234129319
33.2,2.2,4.6,11.6,17.6,42.4,0.0,0.51,14.0,31.0,0.175,0.07,2.0,13.0,0.175,0.03,0.1,0.29,1.5,1.4,4.8,4.2,14.0,25.0,0.3,1.0,4.0,2.9,0.18,2.1,0.0629973494921342
38.0,9.4,4.6,24.8,26.0,52.0,0.0,0.51,14.0,13.0,0.105,0.01,2.0,22.0,0.175,0.05,0.1,0.38,2.0,1.7,4.6,4.4,21.0,15.0,3.5,2.6,1.1,0.7,0.65,4.3,0.0632447319681041
47.6,2.2,3.4,22.4,23.6,20.8,0.0,0.5,14.0,34.0,0.105,0.05,2.0,32.0,0.07,0.03,0.1,0.24,2.5,1.5,4.2,4.8,24.0,7.0,1.4,4.9,2.5,2.4,0.62,3.7,0.0629749961765732
36.8,11.8,4.6,17.6,16.4,30.4,0.0,0.51,14.0,29.0,0.175,0.06,2.0,25.0,0.035,0.02,0.1,0.26,0.7,2.2,4.0,2.9,12.0,14.0,0.2,2.7,2.6,4.1,0.38,1.5,0.0625462576999403
48.8,4.6,3.4,12.8,6.8,10.0,0.0,0.51,14.0,28.0,0.14,0.01,2.0,28.0,0.175,0.1,0.1,0.32,0.8,3.2,3.8,1.5,7.0,19.0,4.9,2.7,0.7,2.8,0.33,1.1,0.0627809284450678
50.0,4.6,3.4,22.4,12.8,25.6,0.0,0.51,14.0,31.0,0.14,0.09,2.0,16.0,0.175,0.06,0.1,0.44,0.8,1.4,4.2,4.9,14.0,30.0,2.6,3.3,2.1,1.3,0.68,1.9,0.0629010719078673
14.0,10.6,11.8,18.8,14.0,50.8,0.0,0.5,14.0,25.0,0.105,0.08,2.0,7.0,0.14,0.04,0.1,0.5,1.4,3.3,4.4,4.1,13.0,18.0,3.8,3.1,3.0,3.1,0.47,1.9,0.0606144610580798
39.2,11.8,4.6,9.2,6.8,11.2,0.0,0.51,14.0,30.0,0.14,0.06,2.0,32.0,0.07,0.06,0.1,0.28,0.7,2.6,3.9,2.7,29.0,22.0,4.4,0.1,2.3,4.3,0.13,1.4,0.0610478022292977
47.6,4.6,3.4,6.8,20.0,38.8,0.0,0.51,14.0,34.0,0.07,0.06,2.0,19.0,0.105,0.04,0.1,0.33,1.3,2.0,4.9,4.2,5.0,8.0,1.3,4.6,1.7,1.4,0.71,3.8,0.062625842351724
29.6,7.0,5.8,24.8,5.6,34.0,0.0,0.5,14.0,29.0,0.14,0.03,2.0,19.0,0.175,0.04,0.1,0.29,0.7,2.7,3.5,2.7,8.0,1.0,3.4,3.9,1.4,0.4,0.26,1.0,0.0628438214466247
17.6,7.0,9.4,24.8,14.0,28.0,0.0,0.51,14.0,32.0,0.105,0.04,2.0,21.0,0.14,0.07,0.1,0.46,1.6,4.0,4.5,2.9,0.0,0.0,1.4,0.9,1.8,4.8,1.44,1.4,0.06284095520603
52.4,9.4,3.4,2.0,3.2,8.8,0.0,0.51,14.0,25.0,0.14,0.01,2.0,7.0,0.175,0.01,0.1,0.5,0.4,2.5,2.1,3.2,16.0,21.0,0.9,3.0,4.3,0.3,0.23,1.0,0.0643810163515513
50.0,13.0,3.4,11.6,6.8,49.6,0.0,0.5,14.0,27.0,0.14,0.06,2.0,23.0,0.035,0.03,0.1,0.25,0.4,2.2,1.6,2.7,19.0,2.0,3.0,4.2,2.0,3.5,0.29,1.2,0.0624512260167498
51.2,2.2,3.4,12.8,23.6,4.0,0.0,0.5,14.0,33.0,0.105,0.02,2.0,35.0,0.105,0.04,0.1,0.49,2.9,2.4,3.8,3.5,22.0,27.0,0.9,1.2,3.2,4.4,1.65,3.4,0.0623359637333647
14.0,8.2,13.0,16.4,5.6,35.2,0.0,0.5,14.0,24.0,0.14,0.02,2.0,11.0,0.105,0.04,0.1,0.15,0.3,2.7,3.7,2.9,15.0,29.0,2.7,2.5,1.9,4.1,0.27,1.2,0.0631876331543667
38.0,13.0,4.6,18.8,6.8,37.6,0.0,0.51,14.0,25.0,0.14,0.04,2.0,7.0,0.105,0.1,0.1,0.16,0.9,2.2,2.2,3.9,13.0,10.0,1.2,0.2,0.9,0.4,0.14,1.7,0.0609476524075209
23.6,3.4,7.0,4.4,21.2,6.4,0.0,0.5,14.0,27.0,0.175,0.1,2.0,23.0,0.175,0.07,0.1,0.25,1.4,0.8,3.7,3.2,12.0,13.0,3.1,1.7,5.0,3.5,0.7,2.8,0.0622564484878394
48.8,10.6,3.4,20.0,18.8,53.2,0.0,0.5,14.0,18.0,0.035,0.02,2.0,13.0,0.105,0.1,0.1,0.35,1.1,1.0,3.9,4.5,19.0,0.0,3.7,3.0,4.2,3.5,0.59,3.1,0.0621557143456499
48.8,10.6,3.4,20.0,18.8,53.2,0.0,0.5,14.0,18.0,0.035,0.02,2.0,13.0,0.105,0.1,0.1,0.35,1.1,1.0,3.9,4.5,19.0,0.0,3.7,3.0,4.2,3.5,0.59,3.1,0.0621557143456499
48.8,10.6,3.4,20.0,18.8,53.2,0.0,0.5,14.0,18.0,0.035,0.02,2.0,13.0,0.105,0.1,0.1,0.35,1.1,1.0,3.9,4.5,19.0,0.0,3.7,3.0,4.2,3.5,0.59,3.1,0.0621557143456499
15.2,3.4,10.6,15.2,16.4,40.0,0.0,0.51,14.0,34.0,0.105,0.03,2.0,8.0,0.035,0.01,0.1,0.35,1.6,2.4,3.9,1.8,10.0,22.0,3.3,3.7,0.9,2.2,0.6,1.5,0.0620386229580562
23.6,7.0,7.0,20.0,11.6,47.2,0.0,0.5,14.0,35.0,0.035,0.01,2.0,14.0,0.07,0.07,0.1,0.47,1.3,1.8,4.0,4.6,16.0,21.0,3.2,0.5,3.3,4.7,1.29,3.3,0.0621864404169036
28.4,4.6,5.8,26.0,14.0,19.6,0.0,0.5,14.0,30.0,0.105,0.06,2.0,19.0,0.175,0.08,0.1,0.42,1.4,0.6,3.2,2.6,27.0,15.0,3.8,1.7,3.0,0.3,0.14,1.7,0.0620596154990838
28.4,4.6,5.8,26.0,14.0,19.6,0.0,0.5,14.0,30.0,0.105,0.06,2.0,19.0,0.175,0.08,0.1,0.42,1.4,0.6,3.2,2.6,27.0,15.0,3.8,1.7,3.0,0.3,0.14,1.7,0.0620596154990838
28.4,4.6,5.8,26.0,14.0,19.6,0.0,0.5,14.0,30.0,0.105,0.06,2.0,19.0,0.175,0.08,0.1,0.42,1.4,0.6,3.2,2.6,27.0,15.0,3.8,1.7,3.0,0.3,0.14,1.7,0.0620596154990838
28.4,2.2,5.8,15.2,26.0,34.0,0.0,0.51,14.0,29.0,0.07,0.01,2.0,13.0,0.175,0.02,0.1,0.44,1.6,2.0,5.0,3.9,19.0,11.0,4.7,2.6,1.6,5.0,0.58,3.5,0.0619585470756143
20.0,8.2,8.2,26.0,15.2,26.8,0.0,0.5,14.0,19.0,0.07,0.02,2.0,30.0,0.035,0.01,0.1,0.28,1.0,1.2,3.2,3.5,2.0,1.0,1.7,0.2,1.1,3.9,0.18,3.1,0.0620743684497604
20.0,8.2,8.2,26.0,15.2,26.8,0.0,0.5,14.0,19.0,0.07,0.02,2.0,30.0,0.035,0.01,0.1,0.28,1.0,1.2,3.2,3.5,2.0,1.0,1.7,0.2,1.1,3.9,0.18,3.1,0.0620743684497604
20.0,8.2,8.2,26.0,15.2,26.8,0.0,0.5,14.0,19.0,0.07,0.02,2.0,30.0,0.035,0.01,0.1,0.28,1.0,1.2,3.2,3.5,2.0,1.0,1.7,0.2,1.1,3.9,0.18,3.1,0.0620743684497604
12.8,7.0,13.0,15.2,15.2,25.6,0.0,0.5,14.0,35.0,0.07,0.01,2.0,28.0,0.105,0.1,0.1,0.43,1.8,2.1,4.9,3.9,0.0,1.0,0.5,4.6,3.5,0.9,0.41,3.7,0.0622575273163888
34.4,4.6,5.8,14.0,3.2,26.8,0.0,0.51,14.0,35.0,0.105,0.04,2.0,19.0,0.14,0.05,0.1,0.45,0.4,1.8,1.4,3.7,27.0,12.0,1.7,4.3,3.9,0.7,0.14,1.3,0.0607038936510031
23.6,2.2,7.0,9.2,17.6,52.0,0.0,0.51,14.0,29.0,0.07,0.07,2.0,15.0,0.105,0.08,0.1,0.35,1.5,3.6,3.3,4.0,3.0,28.0,0.7,0.4,3.8,2.3,0.54,3.0,0.0617494215758528
12.8,9.4,13.0,24.8,5.6,16.0,0.0,0.5,14.0,14.0,0.07,0.02,2.0,26.0,0.035,0.03,0.1,0.29,0.3,0.5,3.9,3.2,13.0,10.0,1.2,4.3,0.6,1.3,0.29,1.2,0.0611874137007307
29.6,8.2,5.8,10.4,17.6,14.8,0.0,0.51,14.0,15.0,0.07,0.05,2.0,35.0,0.035,0.03,0.1,0.22,2.2,1.1,4.4,4.8,4.0,0.0,3.0,2.4,4.1,2.8,0.88,1.8,0.0617345305656481
29.6,8.2,5.8,10.4,17.6,14.8,0.0,0.51,14.0,15.0,0.07,0.05,2.0,35.0,0.035,0.03,0.1,0.22,2.2,1.1,4.4,4.8,4.0,0.0,3.0,2.4,4.1,2.8,0.88,1.8,0.0617345305656481
29.6,8.2,5.8,10.4,17.6,14.8,0.0,0.51,14.0,15.0,0.07,0.05,2.0,35.0,0.035,0.03,0.1,0.22,2.2,1.1,4.4,4.8,4.0,0.0,3.0,2.4,4.1,2.8,0.88,1.8,0.0617345305656481
51.2,1.0,3.4,12.8,16.4,31.6,0.0,0.5,14.0,11.0,0.14,0.04,2.0,27.0,0.105,0.06,0.1,0.46,2.2,1.1,4.6,1.8,5.0,10.0,4.5,1.3,2.3,4.6,0.33,1.7,0.0617538289628011
24.8,7.0,7.0,23.6,22.4,26.8,0.0,0.5,14.0,24.0,0.14,0.03,2.0,10.0,0.035,0.01,0.1,0.36,2.5,2.0,4.1,3.7,28.0,25.0,0.1,2.5,2.8,0.1,0.61,2.9,0.0617885796534107
23.6,4.6,7.0,14.0,17.6,44.8,0.0,0.5,14.0,28.0,0.07,0.07,2.0,28.0,0.07,0.07,0.1,0.34,1.4,1.1,4.4,3.7,14.0,11.0,4.4,1.6,4.0,0.7,0.81,3.1,0.0617911729101231
23.6,4.6,7.0,14.0,17.6,44.8,0.0,0.5,14.0,28.0,0.07,0.07,2.0,28.0,0.07,0.07,0.1,0.34,1.4,1.1,4.4,3.7,14.0,11.0,4.4,1.6,4.0,0.7,0.81,3.1,0.0617911729101231
23.6,4.6,7.0,14.0,17.6,44.8,0.0,0.5,14.0,28.0,0.07,0.07,2.0,28.0,0.07,0.07,0.1,0.34,1.4,1.1,4.4,3.7,14.0,11.0,4.4,1.6,4.0,0.7,0.81,3.1,0.0617911729101231
12.8,8.2,13.0,12.8,16.4,29.2,0.0,0.51,14.0,32.0,0.175,0.07,2.0,20.0,0.14,0.1,0.1,0.39,2.0,1.1,4.8,3.8,6.0,26.0,1.1,1.4,1.1,3.2,0.3,3.1,0.0606750551988933
51.2,8.2,3.4,23.6,3.2,52.0,0.0,0.51,14.0,22.0,0.14,0.08,2.0,5.0,0.175,0.04,0.1,0.34,0.2,1.4,1.3,2.7,24.0,14.0,1.3,3.8,5.0,1.1,0.13,1.1,0.0613157326637667
30.8,8.2,5.8,6.8,9.2,10.0,0.0,0.5,14.0,27.0,0.105,0.01,2.0,17.0,0.07,0.04,0.1,0.47,0.9,0.4,3.7,4.2,16.0,0.0,3.5,1.6,0.6,3.1,0.38,2.7,0.0623312634447615
23.6,2.2,7.0,20.0,16.4,31.6,0.0,0.5,14.0,23.0,0.105,0.06,2.0,12.0,0.175,0.03,0.1,0.45,0.8,3.0,4.6,3.7,19.0,26.0,1.4,3.8,4.8,1.4,0.32,2.7,0.0616583948515273
36.8,8.2,4.6,10.4,8.0,14.8,0.0,0.51,14.0,23.0,0.175,0.05,2.0,28.0,0.105,0.07,0.1,0.48,1.0,1.3,4.9,4.6,29.0,18.0,3.6,0.5,1.3,3.9,0.32,1.9,0.0629200320225879
23.6,2.2,7.0,18.8,16.4,5.2,0.0,0.51,14.0,24.0,0.14,0.06,2.0,30.0,0.175,0.03,0.1,0.26,0.9,1.8,4.4,3.7,20.0,27.0,3.4,1.6,3.6,3.4,0.56,2.8,0.06153227675849
24.8,5.8,7.0,16.4,9.2,52.0,0.0,0.51,14.0,19.0,0.07,0.06,2.0,15.0,0.175,0.07,0.1,0.42,0.9,2.5,3.9,4.3,0.0,25.0,2.6,3.8,3.8,1.8,0.32,1.1,0.0602446770946753
20.0,5.8,8.2,23.6,16.4,50.8,0.0,0.5,14.0,29.0,0.14,0.08,2.0,33.0,0.105,0.01,0.1,0.46,1.5,3.3,3.6,2.7,2.0,11.0,4.8,2.0,3.3,0.5,0.95,2.3,0.0623790819024907
50.0,2.2,3.4,6.8,5.6,12.4,0.0,0.5,14.0,30.0,0.105,0.09,2.0,12.0,0.14,0.04,0.1,0.45,0.4,0.5,2.6,3.8,2.0,10.0,2.1,2.5,1.5,1.3,0.19,1.6,0.0605024370678636
50.0,3.4,3.4,4.4,24.8,50.8,0.0,0.51,14.0,19.0,0.105,0.07,2.0,23.0,0.035,0.01,0.1,0.45,2.4,2.2,5.0,4.0,26.0,19.0,0.6,3.1,3.1,3.0,1.41,3.4,0.0613896121828248
30.8,3.4,5.8,12.8,6.8,40.0,0.0,0.5,14.0,17.0,0.175,0.02,2.0,7.0,0.14,0.09,0.1,0.26,0.5,0.8,4.4,3.0,29.0,17.0,0.7,4.9,1.6,3.2,0.48,1.8,0.0590169109909634
21.2,3.4,8.2,17.6,6.8,17.2,0.0,0.51,14.0,30.0,0.175,0.02,2.0,21.0,0.14,0.08,0.1,0.16,0.8,1.0,4.2,4.0,25.0,13.0,0.4,5.0,2.5,3.2,0.25,1.3,0.0604375882790532
30.8,7.0,5.8,5.6,4.4,40.0,0.0,0.5,14.0,18.0,0.105,0.05,2.0,26.0,0.035,0.01,0.1,0.3,0.3,1.2,1.8,4.6,10.0,26.0,3.7,3.6,4.7,0.9,0.24,1.3,0.0611781270508509
22.4,10.6,8.2,20.0,5.6,53.2,0.0,0.5,14.0,28.0,0.175,0.08,2.0,24.0,0.175,0.08,0.1,0.33,0.5,1.7,2.9,2.1,26.0,14.0,2.5,1.6,0.5,1.7,0.2,2.0,0.0596844020064372
24.8,8.2,7.0,12.8,17.6,24.4,0.0,0.51,14.0,23.0,0.07,0.06,2.0,32.0,0.14,0.1,0.1,0.45,2.0,3.0,3.3,4.0,10.0,13.0,3.7,4.9,2.0,1.5,0.85,2.0,0.0610762357742579
12.8,9.4,13.0,15.2,12.8,40.0,0.0,0.51,14.0,26.0,0.175,0.1,2.0,31.0,0.14,0.07,0.1,0.37,1.0,1.5,4.8,3.4,22.0,1.0,2.7,5.0,4.4,1.1,0.99,2.5,0.0618409589472114
12.8,9.4,13.0,15.2,12.8,40.0,0.0,0.51,14.0,26.0,0.175,0.1,2.0,31.0,0.14,0.07,0.1,0.37,1.0,1.5,4.8,3.4,22.0,1.0,2.7,5.0,4.4,1.1,0.99,2.5,0.0618409589472114
12.8,9.4,13.0,15.2,12.8,40.0,0.0,0.51,14.0,26.0,0.175,0.1,2.0,31.0,0.14,0.07,0.1,0.37,1.0,1.5,4.8,3.4,22.0,1.0,2.7,5.0,4.4,1.1,0.99,2.5,0.0618409589472114
29.6,13.0,5.8,11.6,22.4,16.0,0.0,0.5,14.0,7.0,0.07,0.04,2.0,13.0,0.105,0.09,0.1,0.34,2.5,0.8,4.3,4.5,17.0,14.0,1.5,1.2,4.1,0.3,0.54,3.5,0.0610774203719774
50.0,9.4,3.4,26.0,6.8,18.4,0.0,0.5,14.0,33.0,0.175,0.05,2.0,35.0,0.105,0.01,0.1,0.27,0.8,3.0,2.3,1.4,28.0,15.0,3.5,3.7,3.6,1.3,0.45,1.3,0.06025744055806
36.8,5.8,4.6,15.2,20.0,43.6,0.0,0.5,14.0,32.0,0.105,0.1,2.0,23.0,0.105,0.03,0.1,0.37,2.1,0.4,4.3,3.3,4.0,14.0,2.9,1.6,3.9,1.5,0.3,2.6,0.0610680637117147
12.8,2.2,13.0,8.0,11.6,31.6,0.0,0.51,14.0,31.0,0.105,0.06,2.0,31.0,0.105,0.1,0.1,0.28,1.3,2.5,3.5,3.2,30.0,30.0,4.7,1.0,2.1,4.5,1.21,2.4,0.0617144646000689
29.6,2.2,5.8,12.8,10.4,29.2,0.0,0.51,14.0,33.0,0.07,0.07,2.0,30.0,0.175,0.04,0.1,0.21,0.8,2.2,5.0,2.2,18.0,17.0,0.6,3.2,3.0,2.4,0.43,1.0,0.0600442808474222
22.4,2.2,7.0,21.2,11.6,37.6,0.0,0.51,14.0,15.0,0.14,0.04,2.0,17.0,0.105,0.06,0.1,0.5,0.6,1.3,4.6,3.2,11.0,28.0,0.6,2.6,4.3,4.6,0.18,2.6,0.0606333000541894
12.8,13.0,13.0,21.2,14.0,53.2,0.0,0.5,14.0,31.0,0.14,0.09,2.0,31.0,0.07,0.03,0.1,0.09,0.7,3.9,3.8,3.4,13.0,4.0,3.2,2.6,4.5,1.8,0.58,1.5,0.0609775150657383
21.2,8.2,8.2,21.2,26.0,35.2,0.0,0.51,14.0,31.0,0.175,0.05,2.0,17.0,0.105,0.06,0.1,0.38,2.7,3.1,4.1,4.1,19.0,18.0,3.2,0.7,4.2,1.7,1.64,3.8,0.0604941023101982
24.8,5.8,7.0,5.6,22.4,25.6,0.0,0.5,14.0,35.0,0.175,0.03,2.0,32.0,0.105,0.05,0.1,0.23,1.2,0.4,4.7,4.7,29.0,24.0,2.1,0.7,4.6,4.5,0.33,2.6,0.0606713948678621
35.6,1.0,4.6,8.0,14.0,22.0,0.0,0.5,14.0,20.0,0.035,0.01,2.0,13.0,0.035,0.02,0.1,0.49,0.8,0.9,3.6,3.8,16.0,23.0,1.0,2.2,4.7,3.0,0.17,2.4,0.0606920290701371
51.2,10.6,3.4,26.0,4.4,46.0,0.0,0.51,14.0,31.0,0.105,0.1,2.0,25.0,0.175,0.1,0.1,0.34,0.4,2.9,1.9,4.7,8.0,9.0,1.8,4.5,0.7,3.7,0.33,1.4,0.0601748742319915
24.8,9.4,7.0,15.2,15.2,22.0,0.0,0.51,14.0,31.0,0.07,0.01,2.0,16.0,0.035,0.01,0.1,0.09,0.8,1.0,4.2,4.4,6.0,0.0,1.3,2.8,4.2,3.8,0.46,1.7,0.0605233633970454
18.8,13.0,9.4,11.6,12.8,11.2,0.0,0.5,14.0,27.0,0.035,0.03,2.0,24.0,0.07,0.01,0.1,0.26,1.5,2.6,2.4,4.8,22.0,26.0,0.3,1.1,0.8,5.0,1.27,1.8,0.0605078505508039
21.2,4.6,8.2,9.2,26.0,7.6,0.0,0.51,14.0,26.0,0.07,0.04,2.0,30.0,0.175,0.07,0.1,0.44,2.6,3.4,4.8,4.5,30.0,24.0,1.6,2.0,2.4,4.4,0.78,3.1,0.0605193995467705
51.2,8.2,3.4,6.8,9.2,38.8,0.0,0.51,14.0,30.0,0.14,0.08,2.0,28.0,0.105,0.06,0.1,0.15,1.0,2.7,2.6,4.2,7.0,13.0,0.6,4.9,2.9,0.1,0.81,1.6,0.0589637963075486
51.2,8.2,3.4,6.8,9.2,38.8,0.0,0.51,14.0,30.0,0.14,0.08,2.0,28.0,0.105,0.06,0.1,0.15,1.0,2.7,2.6,4.2,7.0,13.0,0.6,4.9,2.9,0.1,0.81,1.6,0.0589637963075486
51.2,8.2,3.4,6.8,9.2,38.8,0.0,0.51,14.0,30.0,0.14,0.08,2.0,28.0,0.105,0.06,0.1,0.15,1.0,2.7,2.6,4.2,7.0,13.0,0.6,4.9,2.9,0.1,0.81,1.6,0.0589637963075486
17.6,10.6,10.6,11.6,6.8,53.2,0.0,0.5,14.0,27.0,0.175,0.01,2.0,33.0,0.175,0.07,0.1,0.37,0.9,1.5,3.8,3.2,29.0,2.0,2.0,2.0,0.7,4.6,0.19,2.2,0.0583510404584573
29.6,9.4,5.8,23.6,12.8,31.6,0.0,0.51,14.0,16.0,0.175,0.02,2.0,13.0,0.175,0.05,0.1,0.46,1.6,1.0,3.9,4.3,19.0,5.0,4.2,2.3,2.5,3.8,0.68,2.2,0.0610479776103871
24.8,10.6,7.0,24.8,18.8,43.6,0.0,0.5,14.0,9.0,0.105,0.08,2.0,29.0,0.14,0.02,0.1,0.45,0.8,1.1,4.1,5.0,6.0,13.0,2.2,3.9,0.7,4.4,0.3,2.2,0.0608037217402065
40.4,2.2,4.6,8.0,4.4,24.4,0.0,0.5,14.0,33.0,0.14,0.08,2.0,25.0,0.175,0.08,0.1,0.23,0.5,2.3,2.8,4.5,20.0,28.0,2.8,0.2,2.2,1.9,0.3,1.0,0.0600569805811692
40.4,2.2,4.6,8.0,4.4,24.4,0.0,0.5,14.0,33.0,0.14,0.08,2.0,25.0,0.175,0.08,0.1,0.23,0.5,2.3,2.8,4.5,20.0,28.0,2.8,0.2,2.2,1.9,0.3,1.0,0.0600569805811692
40.4,2.2,4.6,8.0,4.4,24.4,0.0,0.5,14.0,33.0,0.14,0.08,2.0,25.0,0.175,0.08,0.1,0.23,0.5,2.3,2.8,4.5,20.0,28.0,2.8,0.2,2.2,1.9,0.3,1.0,0.0600569805811692
16.4,10.6,10.6,23.6,12.8,23.2,0.0,0.5,14.0,31.0,0.105,0.01,2.0,8.0,0.14,0.06,0.1,0.35,1.6,2.9,2.9,3.2,19.0,1.0,5.0,3.4,0.9,2.1,0.39,2.1,0.0603353368811945
21.2,8.2,8.2,18.8,12.8,20.8,0.0,0.5,14.0,30.0,0.035,0.02,2.0,13.0,0.175,0.09,0.1,0.33,1.3,2.2,2.8,1.9,15.0,30.0,1.8,1.3,0.6,4.9,0.44,1.7,0.0598622874722616
38.0,3.4,4.6,16.4,17.6,11.2,0.0,0.51,14.0,33.0,0.14,0.07,2.0,15.0,0.105,0.02,0.1,0.33,2.0,3.4,3.9,3.3,8.0,9.0,3.1,2.5,4.4,2.4,0.35,3.0,0.0600485363844127
18.8,8.2,9.4,8.0,11.6,8.8,0.0,0.51,14.0,13.0,0.175,0.05,2.0,11.0,0.175,0.02,0.1,0.44,0.8,1.3,4.9,1.8,19.0,8.0,4.6,1.6,2.2,1.3,0.7,1.5,0.0602289721244519
27.2,7.0,4.6,20.0,3.2,11.2,0.0,0.5,14.0,8.0,0.175,0.05,2.0,6.0,0.07,0.06,0.1,0.42,0.4,0.3,1.8,3.3,0.0,23.0,4.2,1.2,3.3,3.0,0.16,1.0,0.0461289167179921
24.8,3.4,7.0,10.4,15.2,22.0,0.0,0.51,14.0,17.0,0.07,0.04,2.0,33.0,0.175,0.08,0.1,0.41,1.5,1.8,3.8,3.3,29.0,20.0,1.7,4.3,3.7,3.1,1.47,2.2,0.0595869408326202
51.2,5.8,3.4,8.0,20.0,36.4,0.0,0.5,14.0,25.0,0.105,0.1,2.0,16.0,0.07,0.04,0.1,0.13,2.1,2.7,3.4,3.4,27.0,22.0,3.1,3.6,3.3,3.0,0.46,3.1,0.0599504738396487
39.2,1.0,4.6,2.0,10.4,29.2,0.0,0.51,14.0,13.0,0.175,0.04,2.0,18.0,0.105,0.1,0.1,0.41,1.1,1.1,4.0,1.9,0.0,19.0,2.7,3.5,3.3,3.6,0.48,1.1,0.0594216434312659
39.2,1.0,4.6,2.0,10.4,29.2,0.0,0.51,14.0,13.0,0.175,0.04,2.0,18.0,0.105,0.1,0.1,0.41,1.1,1.1,4.0,1.9,0.0,19.0,2.7,3.5,3.3,3.6,0.48,1.1,0.0594216434312659
39.2,1.0,4.6,2.0,10.4,29.2,0.0,0.51,14.0,13.0,0.175,0.04,2.0,18.0,0.105,0.1,0.1,0.41,1.1,1.1,4.0,1.9,0.0,19.0,2.7,3.5,3.3,3.6,0.48,1.1,0.0594216434312659
20.0,1.0,8.2,9.2,18.8,22.0,0.0,0.51,14.0,22.0,0.175,0.08,2.0,35.0,0.14,0.1,0.1,0.27,0.8,0.8,4.8,5.0,20.0,14.0,0.3,2.4,4.7,0.4,0.12,3.8,0.0597516227876275
51.2,7.0,3.4,16.4,8.0,30.4,0.0,0.51,14.0,34.0,0.07,0.06,2.0,27.0,0.07,0.02,0.1,0.39,0.5,3.0,4.3,4.0,25.0,16.0,1.5,4.1,4.3,4.8,0.21,2.8,0.0609780881896551
17.6,7.0,10.6,8.0,8.0,22.0,0.0,0.51,14.0,21.0,0.14,0.02,2.0,15.0,0.175,0.08,0.1,0.44,0.4,2.4,3.5,4.8,11.0,5.0,1.4,0.1,1.0,0.6,0.37,1.7,0.0578493334474268
15.2,2.2,11.8,20.0,22.4,16.0,0.0,0.51,14.0,35.0,0.105,0.03,2.0,11.0,0.175,0.05,0.1,0.27,2.8,3.8,4.8,2.9,17.0,9.0,3.1,2.4,4.1,1.5,1.46,2.7,0.059527919241215
